Education,Marital_Status,Income,Recency,Wine,Fruit,Meat,Fish,Sweet,Gold,Age,Spent,Living_With,Children,Total_Purchases,Total_Campaign,Cluster
2,3,59809.0,36,598,16,141,32,41,49,48,736,1,2,15,0,1
2,3,23957.0,47,2,1,18,20,11,16,49,50,1,1,6,0,1
2,5,38547.0,49,6,1,10,0,1,4,43,12,1,1,4,0,1
0,3,35688.0,94,73,3,90,12,1,32,51,121,1,3,16,0,1
3,3,49605.0,65,42,16,29,12,20,8,58,98,1,0,8,0,1
3,3,59354.0,59,295,21,78,39,13,13,71,381,1,2,16,0,1
2,3,65747.0,96,346,17,48,23,13,13,55,412,1,1,19,1,1
0,5,46344.0,28,233,20,57,8,20,91,52,372,1,1,17,0,1
2,1,34176.0,12,5,7,24,19,14,20,36,65,0,1,11,0,0
4,5,61010.0,57,888,0,57,0,0,76,72,964,1,1,26,0,3
2,5,69372.0,10,997,26,269,34,13,42,75,1112,1,0,21,2,3
2,4,49967.0,4,212,6,69,4,12,3,66,237,0,1,15,0,0
2,4,60199.0,49,8,1,7,2,0,0,46,11,0,3,4,0,0
2,5,55375.0,3,42,11,57,10,28,14,47,105,1,1,9,0,1
2,4,80317.0,64,536,11,387,149,91,57,69,844,0,0,18,0,2
3,4,30523.0,0,5,0,3,0,0,5,66,10,0,3,4,0,0
4,3,70356.0,20,1349,16,249,43,16,33,79,1457,1,0,27,0,3
2,3,23228.0,91,53,3,49,7,4,5,40,72,1,1,11,0,1
4,2,74165.0,9,1001,12,240,16,12,12,49,1053,0,0,20,0,2
4,3,157243.0,98,20,2,1582,1,2,1,51,26,1,1,37,0,3
2,5,43482.0,83,18,1,32,6,3,28,58,56,1,3,9,0,1
2,2,62551.0,27,125,16,98,134,21,27,71,323,0,0,18,1,2
2,2,52332.0,63,212,5,33,7,0,2,65,226,0,0,12,1,0
2,4,66951.0,46,277,162,305,173,76,124,36,812,0,0,15,0,2
2,5,26091.0,84,15,10,19,8,17,20,67,70,1,2,9,0,1
2,5,33456.0,58,7,3,10,8,1,7,59,26,1,2,6,0,1
2,3,28718.0,78,12,4,6,11,8,16,42,51,1,1,7,0,1
2,3,50447.0,4,85,7,24,2,3,27,54,124,1,2,8,0,1
4,5,53537.0,17,81,0,6,0,0,6,65,87,1,2,8,0,1
2,4,52074.0,77,59,0,12,0,0,48,57,107,0,1,7,1,0
4,3,80427.0,56,1149,71,449,69,71,26,49,1386,1,1,28,0,3
4,3,83837.0,79,847,66,119,86,89,111,76,1199,1,0,25,2,3
4,3,38853.0,90,29,0,14,0,0,2,54,31,1,2,7,0,1
2,5,38285.0,96,2,0,5,2,0,1,65,5,1,3,4,0,1
0,3,78497.0,44,207,26,447,75,0,223,73,531,1,0,25,1,3
4,3,51650.0,81,152,3,22,2,5,7,48,169,1,1,10,0,1
0,3,16248.0,77,12,11,10,3,12,9,36,47,1,1,9,0,1
3,3,66835.0,21,620,26,195,34,17,141,78,838,1,0,24,0,3
3,3,30477.0,16,47,1,6,0,0,12,40,60,1,1,6,0,1
1,3,28249.0,80,1,9,7,2,14,10,63,36,1,0,6,0,1
2,3,25271.0,45,10,1,18,10,4,7,41,32,1,1,5,0,1
4,4,32303.0,63,35,0,2,0,0,2,54,37,0,1,7,0,0
2,3,61286.0,34,356,0,107,19,9,117,58,501,1,1,18,0,1
2,3,74068.0,14,783,30,537,140,76,15,48,1044,1,0,24,0,3
4,3,45759.0,13,42,1,18,3,0,4,60,50,1,2,7,0,1
1,5,24882.0,52,1,4,10,29,0,36,46,70,1,1,5,1,1
4,5,66973.0,98,466,22,432,147,113,102,35,850,1,0,28,0,3
2,3,38872.0,93,23,3,21,3,19,22,36,70,1,1,8,0,1
2,3,51148.0,38,235,6,45,8,9,12,51,270,1,2,16,0,1
2,3,31353.0,24,10,0,10,3,1,7,47,21,1,2,6,0,1
3,3,69661.0,80,656,16,106,32,16,8,44,728,1,0,23,0,3
2,3,80067.0,82,519,17,813,27,173,51,70,787,1,0,17,1,3
2,3,86718.0,20,344,189,482,50,33,172,70,788,1,0,17,0,3
4,4,46854.0,81,96,1,79,7,1,79,51,184,0,2,15,1,0
2,2,69142.0,50,448,4,34,6,4,39,72,501,0,1,19,1,0
2,4,75922.0,60,265,138,553,224,23,92,56,742,0,0,18,0,2
2,2,63693.0,63,587,43,337,42,87,54,46,813,0,1,29,0,2
4,5,102160.0,54,763,29,138,76,176,58,47,1102,1,0,26,3,3
4,4,40637.0,72,22,0,13,0,0,3,59,25,0,2,6,0,0
3,4,18890.0,5,6,4,1,7,2,15,40,34,0,0,4,1,0
2,5,29604.0,88,7,6,13,7,6,14,36,40,1,1,5,1,1
3,2,48721.0,50,81,18,113,47,13,21,61,180,0,2,17,0,0
2,3,44794.0,99,54,0,7,0,0,4,58,58,1,1,6,0,1
2,2,64497.0,17,1170,48,320,42,32,192,70,1484,0,1,29,1,2
2,5,46097.0,11,72,24,68,65,4,8,68,173,1,1,15,0,1
2,5,77972.0,18,613,22,319,33,102,12,70,782,1,0,20,0,3
4,3,44377.0,70,224,0,30,0,0,10,56,234,1,2,19,0,1
3,5,46014.0,21,410,0,59,19,9,44,50,482,1,2,26,0,1
2,3,70951.0,66,239,10,554,254,87,54,39,644,1,0,17,0,3
2,3,41443.0,79,171,7,171,25,19,89,47,311,1,1,20,0,1
0,4,52195.0,2,12,0,4,0,0,1,46,13,0,3,4,0,0
3,3,83790.0,81,1076,16,417,42,48,16,76,1198,1,0,25,2,3
3,6,44551.0,24,182,4,33,0,0,66,70,252,0,1,12,0,0
2,5,69508.0,48,824,32,162,42,32,43,44,973,1,1,28,0,3
0,5,45204.0,93,30,11,25,29,1,18,36,89,1,1,7,0,1
2,3,72460.0,56,377,10,540,80,30,10,55,507,1,0,16,0,3
4,5,77622.0,3,520,7,154,19,0,14,54,560,1,2,22,0,1
4,3,30732.0,44,155,1,25,0,1,3,44,160,1,1,13,0,1
2,2,63887.0,38,897,23,207,15,11,92,62,1038,0,1,32,0,2
2,5,42011.0,46,131,0,16,2,1,39,46,173,1,1,12,0,1
2,5,51369.0,84,297,7,79,0,11,182,48,497,1,1,16,0,1
2,2,51537.0,27,787,20,204,0,0,92,72,899,0,1,18,0,2
4,3,79930.0,72,792,86,740,67,51,17,52,1013,1,0,17,0,3
4,5,34320.0,66,4,1,9,3,0,0,38,8,1,1,4,0,1
2,4,37070.0,30,231,7,137,4,15,39,58,296,0,2,23,0,0
0,2,81975.0,2,983,76,184,180,138,27,62,1404,0,1,14,1,2
2,5,38590.0,65,3,1,8,4,3,3,53,14,1,1,4,0,1
2,4,15033.0,37,0,4,5,6,0,4,73,14,0,0,5,0,0
4,3,62745.0,89,562,21,464,28,10,32,59,653,1,1,29,0,3
0,3,22212.0,49,5,9,20,6,8,21,49,49,1,1,8,0,1
3,5,23661.0,46,18,0,4,0,0,1,42,19,1,1,5,0,1
4,4,79761.0,32,415,5,124,15,35,11,66,481,0,1,19,0,0
2,4,7500.0,54,5,3,10,12,7,20,51,47,0,1,11,0,0
2,6,73455.0,98,901,61,757,186,163,20,56,1331,0,0,22,1,2
2,5,64961.0,97,382,114,276,75,124,38,66,733,1,1,16,0,3
2,4,22804.0,75,14,1,7,2,1,1,53,19,0,1,5,0,0
2,3,73687.0,8,559,153,503,218,13,181,34,1124,1,0,22,1,3
2,3,61074.0,37,789,0,133,0,28,152,66,969,1,1,31,0,3
4,3,31686.0,31,11,0,5,0,0,1,60,12,1,2,6,0,1
2,3,80134.0,40,1218,16,272,104,0,80,52,1418,1,1,16,3,3
2,3,75027.0,74,925,64,179,133,12,77,71,1211,1,1,21,0,3
4,3,67546.0,90,864,134,768,150,38,172,36,1358,1,0,20,0,3
3,5,65176.0,57,960,28,183,220,70,70,55,1348,1,1,25,0,3
3,4,31160.0,59,16,3,25,6,1,13,49,39,0,1,7,0,0
2,4,29938.0,52,3,3,7,0,2,11,39,19,0,1,6,0,0
2,2,102692.0,5,168,148,444,32,172,148,50,668,0,0,29,4,2
0,5,26490.0,92,45,47,52,21,20,25,66,158,1,0,11,0,1
2,5,75702.0,77,650,28,353,45,42,30,57,795,1,2,26,0,3
4,4,30899.0,35,24,0,8,0,0,1,50,25,0,1,6,0,0
4,5,63342.0,48,918,21,118,13,10,21,63,983,1,1,19,1,3
2,4,45989.0,97,138,33,87,28,24,12,60,235,0,1,16,0,0
2,4,18701.0,95,12,4,2,10,6,10,60,42,0,2,10,0,0
4,4,40737.0,24,11,0,4,0,0,2,67,13,0,3,4,0,0
2,2,15287.0,60,1,2,8,4,3,13,45,23,0,1,6,1,0
4,2,69674.0,46,554,41,215,11,0,24,56,630,0,2,25,0,0
3,3,44159.0,85,167,2,62,24,13,7,54,213,1,1,15,0,1
4,3,37717.0,31,9,0,6,4,1,5,46,19,1,1,4,0,1
3,5,43776.0,9,177,2,71,3,2,20,72,204,1,2,17,0,1
3,3,38179.0,30,38,4,22,4,2,20,58,68,1,2,11,0,1
2,3,80124.0,47,483,84,398,205,84,241,61,1097,1,0,19,1,3
4,3,38097.0,70,77,2,35,0,1,69,54,149,1,2,11,1,1
2,3,72940.0,13,182,74,298,162,149,116,54,683,1,0,13,0,3
2,5,22070.0,11,10,7,19,8,2,21,54,48,1,1,8,0,1
2,4,69267.0,31,778,44,499,95,73,146,71,1136,0,0,14,0,2
3,4,31788.0,15,16,7,23,0,8,6,41,37,0,1,10,0,0
4,5,61905.0,2,167,0,43,6,2,13,49,188,1,1,12,0,1
2,3,29315.0,55,13,2,14,8,7,4,64,34,1,2,10,0,1
2,2,33378.0,38,33,6,40,3,7,10,61,59,0,2,9,0,0
4,5,66313.0,86,625,7,99,10,22,7,61,671,1,1,23,0,3
2,4,60714.0,56,216,162,224,101,92,162,68,733,0,0,23,0,2
3,5,77882.0,29,68,129,396,188,22,15,43,422,1,0,12,0,3
4,4,69867.0,30,196,0,512,33,130,54,38,413,0,0,17,1,2
3,2,63841.0,64,635,15,100,20,7,131,56,808,0,1,22,0,2
1,3,24480.0,46,4,19,9,28,25,17,43,93,1,1,10,0,1
2,5,51369.0,84,297,7,79,0,11,182,48,497,1,1,16,0,1
2,5,37760.0,20,84,5,38,150,12,28,78,279,1,0,13,0,1
4,5,65640.0,74,204,7,149,20,15,66,50,312,1,1,15,0,1
3,3,44319.0,18,26,0,8,0,0,3,49,29,1,2,7,0,1
2,3,30631.0,75,15,6,20,4,5,20,50,50,1,1,7,0,1
2,5,75278.0,17,304,98,230,150,74,74,72,700,1,0,23,0,3
3,5,50898.0,88,285,28,242,55,114,135,68,617,1,2,33,0,3
2,6,79946.0,19,395,183,565,166,141,28,58,913,0,0,22,0,2
3,2,35416.0,62,248,3,81,4,3,51,75,309,0,0,16,0,0
0,5,32414.0,11,20,6,5,0,9,12,40,47,1,0,5,1,1
2,5,38361.0,74,39,0,56,20,8,14,55,81,1,1,10,0,1
2,3,82497.0,32,777,129,573,216,21,203,44,1346,1,0,19,1,3
2,5,16626.0,76,8,3,22,21,1,13,53,46,1,2,9,0,1
2,5,29672.0,6,9,1,3,0,4,8,59,22,1,2,4,0,1
3,5,55951.0,62,1241,0,80,0,13,40,72,1294,1,1,23,2,3
0,2,35388.0,20,6,4,7,4,3,8,36,25,0,1,5,0,0
3,5,42386.0,43,65,4,16,0,4,11,38,84,1,1,7,0,1
2,4,68627.0,45,395,15,263,60,54,38,42,562,0,0,12,0,2
4,2,57912.0,34,801,0,80,0,0,35,59,836,0,1,28,1,2
2,2,35246.0,53,36,0,12,2,2,10,66,50,0,2,11,0,0
0,5,58821.0,44,513,14,154,19,0,28,68,574,1,1,21,0,1
4,3,46377.0,89,37,0,46,4,3,0,46,44,1,1,7,0,1
2,4,39747.0,43,80,15,93,20,13,52,36,180,0,1,13,0,0
2,5,23976.0,68,14,1,21,2,3,25,40,45,1,1,10,0,1
3,3,80950.0,44,525,147,112,219,147,63,63,1101,1,0,23,1,3
2,6,27038.0,64,1,26,25,17,23,15,58,82,0,0,7,0,0
2,4,77457.0,85,675,11,400,15,45,11,77,757,0,0,18,1,2
3,3,64100.0,93,509,0,27,0,0,10,60,519,1,1,18,1,1
3,5,42670.0,12,154,2,46,20,4,15,32,195,1,0,11,0,1
2,2,12571.0,86,3,5,14,2,12,17,48,39,0,1,11,0,0
2,3,22574.0,28,25,0,8,2,0,2,57,29,1,3,7,0,1
2,3,51381.5,69,861,138,461,60,30,61,35,1150,1,0,24,2,3
3,4,70893.0,42,768,44,561,77,44,14,48,947,0,0,23,0,2
2,3,54198.0,13,185,0,28,3,2,17,58,207,1,2,16,0,1
3,5,28839.0,86,24,0,7,0,0,1,68,25,1,2,7,0,1
2,3,40321.0,59,44,4,21,6,0,27,52,81,1,2,8,0,1
2,4,66503.0,30,91,64,128,65,3,50,39,273,0,1,15,0,0
2,3,30833.0,33,11,0,7,3,1,6,73,21,1,2,6,0,1
2,4,51381.5,67,738,20,172,52,50,20,54,880,0,3,21,2,2
2,3,64795.0,23,412,5,119,38,29,77,53,561,1,1,21,0,1
2,3,34421.0,81,3,3,7,6,2,9,50,23,1,1,4,0,1
4,2,47025.0,6,16,0,3,0,0,1,59,17,0,2,4,0,0
4,2,64325.0,41,731,60,353,78,12,73,63,954,0,1,23,0,2
2,4,40464.0,78,424,17,118,7,23,41,71,512,0,1,24,0,0
2,3,62187.0,49,792,0,275,45,45,126,67,1008,1,0,18,0,3
4,2,14849.0,39,21,2,28,3,2,9,48,37,0,1,9,0,0
2,3,27255.0,3,22,1,11,0,1,2,40,26,1,1,5,0,1
4,3,54432.0,37,33,0,5,0,0,0,74,33,1,3,5,0,1
4,4,29999.0,22,68,7,59,10,5,11,38,101,0,1,12,0,0
2,4,24072.0,79,9,1,6,3,0,4,41,17,0,1,4,0,0
4,4,33996.0,46,40,2,15,8,0,6,35,56,0,0,6,0,0
4,3,66334.0,82,909,11,218,0,0,23,68,943,1,1,19,0,3
3,3,35178.0,10,23,1,13,2,2,18,53,46,1,1,5,1,1
2,5,22010.0,51,11,2,9,3,0,8,41,24,1,1,7,0,1
2,2,62204.0,38,317,46,247,151,46,139,64,699,0,2,22,0,2
2,2,75693.0,10,797,153,293,72,97,30,56,1149,0,0,22,3,2
2,3,30675.0,14,10,2,16,11,2,21,52,46,1,1,5,0,1
2,5,83003.0,18,856,61,570,40,25,122,59,1104,1,0,22,1,3
2,4,68655.0,95,456,19,832,75,118,38,36,706,0,0,21,0,2
2,2,41411.0,11,37,32,38,11,3,18,38,101,0,0,8,0,0
4,3,55212.0,65,1103,0,45,0,0,34,55,1137,1,1,20,2,3
4,5,59292.0,71,378,14,68,19,14,14,74,439,1,1,18,0,1
1,5,27190.0,13,1,6,7,0,1,3,51,11,1,1,4,1,1
2,2,82623.0,58,204,34,204,172,153,173,72,736,0,0,16,0,2
2,3,44300.0,65,30,0,9,0,0,3,59,33,1,2,6,0,1
2,2,84835.0,0,189,104,379,111,189,218,54,811,0,0,15,0,2
2,6,30372.0,33,15,0,12,7,3,7,53,32,0,2,8,0,0
3,3,33181.0,90,9,0,3,0,0,4,48,13,1,1,4,1,1
2,3,71113.0,95,495,33,255,11,33,8,67,580,1,1,26,0,3
2,3,71952.0,93,656,80,455,52,107,93,38,988,1,1,22,2,3
4,4,69759.0,38,452,20,514,13,30,0,58,515,0,0,18,0,2
2,3,72099.0,18,546,91,410,119,0,22,50,778,1,0,18,0,3
4,4,60000.0,57,1048,0,217,0,0,12,48,1060,0,1,24,0,2
2,4,38643.0,45,22,2,14,0,1,10,46,35,0,2,7,0,0
2,3,50737.0,61,78,0,11,0,0,10,69,88,1,1,7,1,1
4,3,68462.0,6,561,64,785,84,128,48,55,885,1,0,15,0,3
3,3,65073.0,65,629,17,177,69,0,8,81,723,1,0,14,0,3
4,5,46681.0,52,269,15,69,15,19,38,76,356,1,2,16,0,1
2,3,78618.0,87,736,163,818,212,163,61,67,1335,1,0,22,1,3
4,6,62187.0,38,512,0,83,0,0,41,55,553,0,1,21,0,0
2,3,28442.0,53,19,3,10,11,8,6,46,47,1,2,10,0,1
4,3,37717.0,31,9,0,6,4,1,5,46,19,1,1,4,0,1
2,3,51479.0,67,247,8,160,6,8,65,57,334,1,2,22,0,1
2,4,54803.0,65,404,0,92,28,27,142,55,601,0,1,19,0,0
2,3,79530.0,64,333,0,815,129,42,29,64,533,1,0,26,0,3
2,2,31615.0,82,2,3,20,6,11,9,48,31,0,1,7,0,0
2,5,72025.0,27,833,33,549,151,133,233,62,1383,1,0,16,0,3
4,4,52614.0,63,789,0,142,12,9,38,49,848,0,1,16,0,2
0,3,35684.0,66,10,4,7,0,6,3,40,23,1,1,5,0,1
2,3,48178.0,69,159,4,45,6,2,38,49,209,1,2,16,0,1
3,4,29548.0,52,7,1,6,3,1,11,54,23,0,1,5,1,0
2,4,63810.0,45,977,12,253,16,12,101,58,1118,0,1,23,1,2
4,4,38578.0,2,38,4,22,3,3,3,52,51,0,2,9,0,0
